,authorJob,authorJobLocation,careerOpportunitiesRating,company,compensationAndBenefitsRating,cultureAndValuesRating,reviewDate,reviewDescription,reviewHeadline,seniorLeadershipRating,workLifeBalanceRating,language,tokens
0,"Gestionnaire Crédits Structurés (Ancien employé), ",Paris 10,0.0,BNP Paribas,0.0,0.0,6 juillet 2015,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,environnement de travail agréable,0.0,0.0,fr,"[bon entente, collégue surcharge, entente collégue, formation bon, intéresser formation, surcharge travail, intéresser, formation, bon, entente, collégue, surcharge, travail]"
1,"Conseiller clientèle (Ancien employé), ",Champigny-sur-Marne (94),4.0,BNP Paribas,4.0,2.0,25 novembre 2015,"il est agréable de travailler chez BNP Paribas mais dès que notre projet personnel prend le dessus sur le professionnel, cela ne convient pas forcément à la hiérarchie et ses plans de carrière.",Agréable quand on va dans le sens de la hiérarchie,2.0,4.0,fr,"[agréable travailler, convier hiérarchie, hiérarchie plans, personnel prendre, plans carrière, prendre professionnel, professionnel convier, projet personnel, travailler projet, agréable, travailler, projet, personnel, prendre, professionnel, convier, hiérarchie, plans, carrière]"
2,"Consultant (Ancien employé), ","Paris, Montreuil",0.0,BNP Paribas,0.0,0.0,24 novembre 2015,"J'y travaillais beaucoup, mais avec des personnes compétentes.",Bon environnement de travail,0.0,0.0,fr,"[person compétent, travailler person, travailler, person, compétent]"
3,"Consultant AMOA GED-Dématérialisation (Employé actuel), ","Paris, A8",1.0,BNP Paribas,4.0,1.0,21 novembre 2015,"Equipe  sympa.,Ambiance correcte,Envoi de flux xml pour la reconnaissance documentaire et gestion des flux workflox.,RAD, LAD et workflow",AMOA GED dematérialisation,1.0,4.0,fr,"[documentaire gestion, equipe sympa.,ambiance, lad workflow, reconnaissance documentaire, sympa.,ambiance correcte,envoi, workflox.,rad lad, xml reconnaissance, correcte,envoi flux, flux workflox.,rad, flux xml, gestion flux, equipe, sympa.,ambiance, correcte,envoi, flux, xml, reconnaissance, documentaire, gestion, flux, workflox.,rad, lad, workflow]"
4,"Auxiliaire d'été (Ancien employé), ","Rueil-Malmaison, A8",0.0,BNP Paribas,0.0,0.0,3 novembre 2015,"Stage d'été agréable, des premières missions adaptées au niveau d'étude.",stage agréable,0.0,0.0,fr,"[adaptéer niveau, agréable premier, mission adaptéer, niveau étude, premier mission, stage agréable, stage, agréable, premier, mission, adaptéer, niveau, étude]"
5,"accueil clientele (Ancien employé), ",val d oise et oise,2.0,BNP Paribas,2.0,2.0,24 octobre 2015,"periode trop courte pour en juger.,Mais bonne experience,Bon retour",emploi,2.0,2.0,fr,"[bon experience,bon, courte juger.,mai, experience,bon retour, juger.,mai bon, periode courte, periode, courte, juger.,mai, bon, experience,bon, retour]"
6,"Gestion de l'accueil (Ancien employé), ",joinville le pont,2.0,BNP Paribas,3.0,3.0,16 octobre 2015,"à l'agence de joinville le pont, l'environnement de travail était très agréable, une équipe jeune et soudé avec un très bonne état d'esprit.",environnement de travail agréable,3.0,4.0,fr,"[agence joinville, agréable équipe, bon état, jeun souder, joinville pont, pont travail, souder bon, travail agréable, équipe jeun, état esprit, agence, joinville, pont, travail, agréable, équipe, jeun, souder, bon, état, esprit]"
7,"Technicien D'exploitation (Ancien employé), ",Montreuil,4.0,BNP Paribas,4.0,5.0,7 octobre 2015,"Ma journée consistait à effectuer une surveillance et un compte rendu de toutes les alertes générées par les différentes applications,que gère la société BNP Paribas. Ainsi que de traiter tous les incidents de niveau 1 et d'escalader les autres aux différents pôles en charge.,Le management à toujours été très à l'écoute et ma apprit beaucoup.,J'ai toujours eu la chance de travailler avec de bon collaborateur, toujours disponible et prêt à aider l'équipe.,L'aspect le plus difficile dans mon poste, est pour moi la pression que cela génère. Quand à l'aspect le plus agréable est de se sentir utile et de pouvoir apprendre toujours de nouvelles choses.",Expérience professionnel très agréable,5.0,4.0,fr,"[1 escalader, agréable sentir, aider équipe.,l, alerte généréer, applications,que gérer, beaucoup.,j chance, bon collaborateur, chance travailler, charge.,le écouter, collaborateur disponible, compte rendre, consister effectuer, difficile pression, disponible prêt, effectuer surveillance, escalader autres, gérer société, incident niveau, journée consister, mum journée, niveau 1, nouvel choses, pression génère, prêt aider, pôle charge.,le, rendre alerte, sentir utile, société traiter, surveillance compte, traiter incident, travailler bon, utile pouvoir, apprendre beaucoup.,j, apprendre nouvel, aspect agréable, aspect difficile, autres différent, différent applications,que, différent pôle, génère aspect, généréer différent, pouvoir apprendre, écouter apprendre, équipe.,l aspect, mum, journée, consister, effectuer, surveillance, compte, rendre, alerte, généréer, différent, applications,que, gérer, société, traiter, incident, niveau, 1, escalader, autres, différent, pôle, charge.,le, écouter, apprendre, beaucoup.,j, chance, travailler, bon, collaborateur, disponible, prêt, aider, équipe.,l, aspect, difficile, pression, génère, aspect, agréable, sentir, utile, pouvoir, apprendre, nouvel, choses]"
8,"Gestionnaire Administratif (Ancien employé), ",Paris,4.0,BNP Paribas,5.0,4.0,6 octobre 2015,"Au sein de la BNP Paribas, j'ai eu la chance d'être sous la tutelle de collaborateurs talentueux et avec une vraie envie de transmettre leurs savoir-faire. Ainsi, je me suis facilement intégrer dans la société et j'ai pu très vite commencer à effectuer des tâches passionnantes tel que le mailing interne (collaborateurs) et externe ainsi que la gestion des colis.,Le poste que j'ai occupé demande une grande rigueur et un sens de l'organisation, mais il permet d'acquérir une grande autonomie.",Bonne ambiance générale,4.0,4.0,fr,"[chance tutelle, colis.,le occuper, commencer effectuer, effectuer tâche, envie transmettre, extern gestion, gestion colis.,le, intégrer société, mailing intern, occuper demander, organisation permettre, passionnant mailing, permettre acquérir, pouvoir commencer, rigueur sen, savoir-faire suivre, sein chance, sen organisation, société pouvoir, suivre intégrer, talentueux vrai, transmettre savoir-faire, tâche passionnant, vrai envie, acquérir grand, collaborateur extern, collaborateur talentueux, demander grand, grand autonomie, grand rigueur, intern collaborateur, tutelle collaborateur, sein, chance, tutelle, collaborateur, talentueux, vrai, envie, transmettre, savoir-faire, suivre, intégrer, société, pouvoir, commencer, effectuer, tâche, passionnant, mailing, intern, collaborateur, extern, gestion, colis.,le, occuper, demander, grand, rigueur, sen, organisation, permettre, acquérir, grand, autonomie]"
9,"Auxiliaire de vacances (Ancien employé), ",marseille,0.0,BNP Paribas,0.0,0.0,5 octobre 2015,"Bonne entreprise,Très bonne ambiance au sein de l'entreprise",cetelem,0.0,0.0,fr,"[ambiance sein, sein entreprise, bon ambiance, bon entreprise,trè, entreprise,trè bon, bon, entreprise,trè, bon, ambiance, sein, entreprise]"
10,"Contrôleur Financier (Senior) (Ancien employé), ",Nanterre,3.0,BNP Paribas,4.0,4.0,29 septembre 2015,"Le poste que j'occupe actuellement est transversal, les tâches sont diversifiées. ,La communication est basée sur la transparence avec le management. Il y a une collaboration positive et constructive avec les différents départements de la société. ,Le fait de travailler dans une petite équipe m'a permis d'acquérir une expérience technique dans différents domaines (actuariat, financier, contrôle de gestion, compliance, développement commercial...).,Au début, l'aspect le plus challenging dans ce poste était la transversalité. Il fallait comprendre les enjeux et les conséquences d'une prise de décision. Par exemple,dans le cas du développement commercial, il est important de comprendre la traduction comptable, juridique, capitalistique de cette prise de décision tout en respectant la compliance mise en place par le Groupe.",Bon environnement de travail,4.0,4.0,fr,"[acquérir expérience, actuariat financier, aspect plu, baséer transparence, capitalistique priser, challenging transversalité, collaboration positif, commercial importer, commercial...).,au début, communication baséer, comptable juridique, conséquence prise, contrôle gestion, diversifiée communication, domaine actuariat, début aspect, département société, enjeux conséquence, exemple,dan cas, expérience technique, faire travailler, financier contrôle, juridique capitalistique, management collaboration, miser place, occuper transversal, permettre acquérir, petit équipe, plu challenging, positif constructif, société faire, traduction comptable, transparence management, transversal tâche, transversalité falloir, travailler petit, tâche diversifiée, équipe permettre, cas développement, compliance miser, comprendre enjeux, comprendre traduction, constructif différent, différent domaine, différent département, décision exemple,dan, décision respecter, développement commercial, développement commercial...).,au, falloir comprendre, gestion compliance, importer comprendre, prise décision, priser décision, respecter compliance, technique différent, compliance développement, occuper, transversal, tâche, diversifiée, communication, baséer, transparence, management, collaboration, positif, constructif, différent, département, société, faire, travailler, petit, équipe, permettre, acquérir, expérience, technique, différent, domaine, actuariat, financier, contrôle, gestion, compliance, développement, commercial...).,au, début, aspect, plu, challenging, transversalité, falloir, comprendre, enjeux, conséquence, prise, décision, exemple,dan, ...]"
11,"Hôtesse d'accueil (Ancien employé), ",Eauze,4.0,BNP Paribas,4.0,4.0,29 septembre 2015,"Journée de travail agréable en globalité.,Personnel sympathique et qui met à l'aise.,Le poste en tant qu'hôtesse d'accueil est une responsabilité qui me plaît car j'aime être à l'écoute des gens, et pouvoir leur rendre service est pour moi important.,Le plus difficile dans ce poste est de s'adapter à certains types de clients qui ne sont pas facile, mais c'est une expérience que je voudrais renouveler avec grand plaisir.",Environnement de travail agréable,4.0,4.0,fr,"[accueil responsabilité, adapter types, agréable globalité.,personnel, aimer écouter, aise.,le hôtesse, clients expérience, difficile adapter, expérience vouloir, gen pouvoir, globalité.,personnel sympathique, grand plaisir, hôtesse accueil, important.,le difficile, journée travail, mettre aise.,le, plaire aimer, pouvoir rendre, rendre service, renouveler grand, responsabilité plaire, service important.,le, sympathique mettre, travail agréable, types clients, vouloir renouveler, écouter gen, journée, travail, agréable, globalité.,personnel, sympathique, mettre, aise.,le, hôtesse, accueil, responsabilité, plaire, aimer, écouter, gen, pouvoir, rendre, service, important.,le, difficile, adapter, types, clients, expérience, vouloir, renouveler, grand, plaisir]"
12,"Gestion décompte - remboursement anticipé (Employé actuel), ","Marseille, B8",4.0,BNP Paribas,4.0,4.0,26 septembre 2015,Développement et formation qui sont des opportunités pour évoluer au sein de BNP Paribas.,bonne conivence entre l'équipe et le travail,4.0,4.0,fr,"[développement formation, formation opportunité, opportunité évoluer, évoluer sein, développement, formation, opportunité, évoluer, sein]"
13,"Financial Analyst (Internship) (Ancien employé), ",Issy Les Moulineaux,5.0,BNP Paribas,5.0,4.0,23 septembre 2015,"-Rythme de travail soutenu et parfait pour le développement rapide,-Peu de formations et opportunités de développement mais bon « mentoring »,Le Management,-Management parfait,Collaborateurs,-Bon personnel ,Aspect difficile du poste,-Communication sur les objectifs,Vérification du travail et commentaires pertinent sur le niveau de travail",Environment parfait pour apprendre,5.0,5.0,fr,"[aspect difficile, bon «, commentaire pertiner, difficile poste,-communication, formation opportunité, mentoring »,le, parfait,collaborateurs,-bon personnel, personnel aspect, pertiner niveau, poste,-communication objectifs,vérification, rapide,-peu formation, soutenir parfait, « mentoring, »,le parfait,collaborateurs,-bon, développement bon, développement rapide,-peu, opportunité développement, parfait développement, niveau travail, objectifs,vérification travail, rythme travail, travail commentaire, travail soutenir, rythme, travail, soutenir, parfait, développement, rapide,-peu, formation, opportunité, développement, bon, «, mentoring, »,le, parfait,collaborateurs,-bon, personnel, aspect, difficile, poste,-communication, objectifs,vérification, travail, commentaire, pertiner, niveau, travail]"
