,authorJob,authorJobLocation,careerOpportunitiesRating,company,compensationAndBenefitsRating,cultureAndValuesRating,reviewDate,reviewDescription,reviewHeadline,seniorLeadershipRating,workLifeBalanceRating,language,tokens
14,"Chargé de Portefeuille Immobilier (Ancien employé), ",Paris 9e,5.0,BNP Paribas,5.0,5.0,21 septembre 2015,Excellente relation entre les différents services et les différents collaborateurs,Environnement de Travail,5.0,5.0,fr,"[excellent relation, différent collaborateur, différent service, relation différent, service différent, excellent, relation, différent, service, différent, collaborateur]"
15,"Conseiller clientèle (Ancien employé), ","Saint-Denis, A8",0.0,BNP Paribas,0.0,0.0,18 septembre 2015,"Préparation de la journée, préparer son poste de travail, s'occuper du courrier.,Ouverture de la banque et accueil de la clientèle.,Fermeture de l'agence et traitement du courrier.",Travail très intéressant,0.0,0.0,fr,"[accueil clientèle.,fermeture, agence traitement, banque accueil, clientèle.,fermeture agence, courrier.,ouverture banque, journée préparer, occuper courrier.,ouverture, préparation journée, préparer travail, traitement courrier, travail occuper, préparation, journée, préparer, travail, occuper, courrier.,ouverture, banque, accueil, clientèle.,fermeture, agence, traitement, courrier]"
16,"Analyste de performance de Portefeuille OPCVM (Ancien employé), ",paris,3.0,BNP Paribas,4.0,4.0,15 septembre 2015,Je suis très satisfait des journées de travail à BNP Paribas,Journée typique,4.0,5.0,fr,"[journée travail, satisfaire journée, suivre satisfaire, suivre, satisfaire, journée, travail]"
18,"Stage (Ancien employé), ",Montreuil,5.0,BNP Paribas,5.0,5.0,9 septembre 2015,"Les collègues sont gentils.,Travail pas dur,j'ai amélioré mes expériences professionels",agreable,5.0,5.0,fr,"[améliorer expérience, collègue gentils.,travail, dur,j améliorer, expérience professionel, gentils.,travail dur,j, collègue, gentils.,travail, dur,j, améliorer, expérience, professionel]"
19,"Juriste en assurance, distribution et corporate (Ancien employé), ","Nanterre, A8",3.0,BNP Paribas,4.0,4.0,3 septembre 2015,"La charge de travail était importante mais j'ai énormément appris en étant chez Cardif alors que je partais de zéro. Ils ont su me donner ma chance.,L'ambiance était très agréable avec une belle convivialité.","Travail motivant, belle autonomie et équipe soudée.",4.0,3.0,fr,"[agréable bel, ambiance agréable, apprendre cardif, bel convivialité, cardif partir, chance.,l ambiance, charge travail, donner mum, important apprendre, mum chance.,l, partir zéro, savoir donner, travail important, zéro savoir, charge, travail, important, apprendre, cardif, partir, zéro, savoir, donner, mum, chance.,l, ambiance, agréable, bel, convivialité]"
20,"Chargée de Clientèle des Particuliers (Ancien employé), ",La Valette du Var,4.0,BNP Paribas,4.0,3.0,27 août 2015,"J'étais en contrat de professionnalisation, en alternance.,Je gérais principalement un guichet avec espèces et m'occupais des opérations courantes de la clientèle des particuliers.",Proximité aupès de la clientèle des particuliers,2.0,3.0,fr,"[alternance.,je gérer, clientèle particulier, contrat professionnalisation, courant clientèle, espèce occuper, guichet espèce, gérer guichet, occuper opération, opération courant, professionnalisation alternance.,je, contrat, professionnalisation, alternance.,je, gérer, guichet, espèce, occuper, opération, courant, clientèle, particulier]"
22,"assistante Directeur de la Communication Groupe (Ancien employé), ",3 rue d'Antin (75002 Paris),2.0,BNP Paribas,2.0,3.0,19 août 2015,"grosse société avec ses avantages et ses inconvénients. J'ai travaillé au 3 rue d'Antin à la Direction de la Communication. C'est un univers feutré où les relations sont courtoises.,J'ai participé à l'organisation des réunions FMI de Printemps à Washington.",environnement de travail agréable,2.0,3.0,fr,"[3 rue, antin direction, avantages inconvénient, communication univers, courtoises.,j participer, direction communication, feutrer où, fmi printemps, grosse société, inconvénient travailler, organisation réunion, où relations, participer organisation, printemps washington, relations courtoises.,j, rue antin, réunion fmi, société avantages, travailler 3, univers feutrer, grosse, société, avantages, inconvénient, travailler, 3, rue, antin, direction, communication, univers, feutrer, où, relations, courtoises.,j, participer, organisation, réunion, fmi, printemps, washington]"
23,"Conseiller clientèle et accueil (Ancien employé), ",Nantes,4.0,BNP Paribas,5.0,4.0,7 août 2015,"Peu de conseil, beaucoup de commercial. ,Bonne première expérience du monde du travail",BTS Banque,4.0,2.0,fr,"[bonne première, commercial bonne, conseil commercial, expérience monde, monde travail, première expérience, conseil, commercial, bonne, première, expérience, monde, travail]"
24,"Commercial "" Jeune "" BNP Paribas (Ancien employé), ",Paris SUD,3.0,BNP Paribas,5.0,5.0,6 août 2015,"Normal car à la rentrée scolaire, période effective de travail, nous étions poussé au chiffre, mais travailler au sein des universités permet de faire de belles rencontres",Poussé au chiffre,5.0,5.0,fr,"[bel rencontres, chiffre travailler, effectif travail, faire bel, normal rentrée, permettre faire, pousser chiffre, période effectif, rentrée scolaire, scolaire période, sein université, travail pousser, travailler sein, université permettre, normal, rentrée, scolaire, période, effectif, travail, pousser, chiffre, travailler, sein, université, permettre, faire, bel, rencontres]"
25,"Alternance rédacteur successions (Ancien employé), ","Rueil-Malmaison, A8",0.0,BNP Paribas,0.0,0.0,4 août 2015,Chez BNP Paribas Cardif nous pouvons mettre en avant le bon accompagnement des alternants grâce aux tuteurs qui sont à l'écoute.,Bon accompagnement des alternants,0.0,0.0,fr,"[alternant grâce, bon alternant, cardif pouvoir, grâce tuteur, mettre bon, pouvoir mettre, tuteur écouter, cardif, pouvoir, mettre, bon, alternant, grâce, tuteur, écouter]"
26,"Stage en Animation Commerciale (Ancien employé), ",Cergy Pontoise,4.0,BNP Paribas,4.0,5.0,4 août 2015,"J'ai effectué un stage de 3 mois au sein de la Succursale  de BNP Paribas de Cergy,,j'y ai découvert les métiers s'apparentant aux opérations de Banque de détail, ,notamment au sein du Pôle Expert Commercial,,avec les métiers relatifs à l'immobilier, l'expertise crédit, et le suivi des opérations commerciales.,Une expérience enrichissante dans ce qui fut mes premiers pas dans une institution financière.",Stage au sein de BNP Paribas Cergy,4.0,4.0,fr,"[3 mois, banque détail, cergy,,j découvrir, commerciales.,une expérience, crédit suivi, effectuer stage, enrichissant premier, expert commercial,,avec, expertise crédit, expérience enrichissant, immobilier expertise, institution financier, premier institution, pôle expert, relatif immobilier, stage 3, succursale cergy,,j, apparenter opération, commercial,,avec métier, découvrir métier, détail sein, mois sein, métier apparenter, métier relatif, opération banque, opération commerciales.,une, sein pôle, sein succursale, suivi opération, effectuer, stage, 3, mois, sein, succursale, cergy,,j, découvrir, métier, apparenter, opération, banque, détail, sein, pôle, expert, commercial,,avec, métier, relatif, immobilier, expertise, crédit, suivi, opération, commerciales.,une, expérience, enrichissant, premier, institution, financier]"
27,"CHARGÉE DE CLIENTÈLE EN ALTERNANCE (Ancien employé), ","Mornant, B9",3.0,BNP Paribas,5.0,4.0,30 juillet 2015,Prise en considération des salariés. Bonne cohésion d'équipe.,Equipes agréables,5.0,4.0,fr,"[bon cohésion, cohésion équipe, considération salarié, priser considération, salarié bon, priser, considération, salarié, bon, cohésion, équipe]"
28,"CONSEILLER PATRIMONIAL (Employé actuel), ","L'Union, B3",4.0,BNP Paribas,3.0,4.0,27 juillet 2015,"Une journée de travail se compose par un morning brief, la gestion des débiteurs, les rendez-vous clients, des relances et opérations commerciales à réaliser, le traitement administratif des demandes clients que vous recevez par téléphone, mail et face à face.,Les opportunités d'évolutions sont devenir directeur d'agence puis directeur d'entité (groupe de plusieurs agence),Le management est correct, il faut faire son chiffre, respecter le code déontologique de l'entreprise et réaliser à temps les opérations de relances commerciales.,Les collaborateurs sont disponibles, le collectif fait parti de la culture de l'entreprise.,L'aspect le plus difficile de mon poste est la multiplicité des taches à effectuer dans le temps imparti d'une journée de travail.,L'aspect le plus agréable est la relation client et les services rendus.",Un rythme intense,3.0,2.0,fr,"[administratif demande, agence),le falloir, agréable relation, brief gestion, chiffre respecter, client service, code déontologique, collaborateur disponible, commerciales.,le collaborateur, composer morning, culture entreprise.,l, difficile multiplicité, disponible collectif, débiteur rendez-vous, déontologique entreprise, entité agence),le, face face.,le, face.,le opportunité, gestion débiteur, mail face, morning brief, multiplicité taches, opportunité évolution, parti culture, recevoir téléphone, relation client, respecter code, service rendure, taches effectuer, traitement administratif, travail composer, téléphone mail, évolution devenir, agence directeur, aspect agréable, aspect difficile, clients recevoir, collectif faire, commercial réaliser, demande clients, devenir directeur, directeur agence, directeur entité, effectuer temps, entreprise réaliser, entreprise.,l aspect, faire chiffre, faire parti, falloir faire, imparti journée, journée travail, journée travail.,l, opération commercial, relance commerciales.,le, rendez-vous clients, réaliser traitement, temps imparti, travail.,l aspect, clients relance, opération relance, relance opération, réaliser temps, temps opération, journée, travail, composer, morning, brief, gestion, débiteur, rendez-vous, clients, relance, opération, commercial, réaliser, traitement, administratif, demande, clients, recevoir, téléphone, mail, face, face.,le, opportunité, évolution, devenir, directeur, agence, directeur, entité, agence),le, falloir, faire, chiffre, respecter, code, déontologique, entreprise, ...]"
29,"Apprenti Chargé d'administration du crédit (Ancien employé), ",Marseille,5.0,BNP Paribas,5.0,5.0,25 juillet 2015,"Chargé d'Administration du Crédit est un poste qui traite de tâches précises et définies. Ce poste intervient dans l'appui au commercial dans la gestion de son fond de commerce allant de l'ouverture du compte (Entrée en relation avec la personne morale) jusqu'à la fermeture du compte. Il intervient également dans l'actualisation juridiques des dossiers clients et des éventuelles modifications afférentes à ces derniers.,Les missions principales de la cellule CAC sont:,-l’amélioration de la maîtrise du risque juridique,-la conformité et la fiabilité des référentiels clients.,-Assurer le suivi et la régularité juridiques des Entrée en Relation,-Assurer la fiabilité, la conformité et de l’actualité des informations client par l’actualisation constante de nos bases et des documents de référence.","Environnement de travail rigoureux, compétitif et exigeant",4.0,5.0,fr,"[actualité information, administration crédit, afférent derniers.,le, aller ouverture, amélioration maîtrise, appui commercial, bases document, cac sont:,-l’, cellule cac, charger administration, clients éventuel, clients.,-assurer suivi, commerce aller, commercial gestion, constant bases, crédit traiter, derniers.,le mission, document référence, dossier clients, fond commerce, gestion fond, information client, maîtrise risque, mission principal, modification afférent, morale fermeture, principal cellule, précis définie, relation morale, risque juridique,-la, référentiel clients.,-assurer, sont:,-l’ amélioration, suivi régularité, traiter tâche, tâche précis, éventuel modification, actualisation constant, client actualisation, conformité actualité, définie intervenir, entrée relation, entrée relation,-assurer, fermeture compte, fiabilité référentiel, intervenir appui, juridique dossier, juridique,-la conformité, ouverture compte, relation,-assurer fiabilité, régularité juridique, actualisation juridique, compte entrée, compte intervenir, conformité fiabilité, fiabilité conformité, intervenir actualisation, juridique entrée, charger, administration, crédit, traiter, tâche, précis, définie, intervenir, appui, commercial, gestion, fond, commerce, aller, ouverture, compte, entrée, relation, morale, fermeture, compte, intervenir, actualisation, juridique, dossier, clients, éventuel, modification, afférent, derniers.,le, mission, principal, cellule, cac, sont:,-l’, amélioration, maîtrise, risque, juridique,-la, conformité, fiabilité, référentiel, clients.,-assurer, ...]"
30,"Stage Juridique, 6 mois (Ancien employé), ","Paris, A8",3.0,BNP Paribas,0.0,5.0,21 juillet 2015,Convivialité et très bon esprit d'équipe au sein des services BNP PARIBAS.,Esprit d'équipe,5.0,5.0,fr,"[bon esprit, convivialité bon, esprit équipe, sein service, équipe sein, convivialité, bon, esprit, équipe, sein, service]"
31,"Ingénieur  réseaux, systèmes, sécurité (Employé actuel), ",Montreuil,4.0,BNP Paribas,4.0,4.0,20 juillet 2015,Journée de travail toujours très satisfaisante pour l'employeur et moi-même.,Travail sarisfaisant,4.0,4.0,fr,"[journée travail, satisfaisant employeur, travail satisfaisant, journée, travail, satisfaisant, employeur]"
32,"Auxiliaire de vacances à BNP Paribas (Ancien employé), ","Paris, A8",3.0,BNP Paribas,5.0,3.0,17 juillet 2015,"Un premier pas dans le monde de la grande entreprise très intéressant. Les missions évoluent au fil de la période.,L'aspect le plus agréable est a bonne ambiance générale et la sympathie des collaborateurs.",Très bonne opportunité pour un étudiant,3.0,5.0,fr,"[agréable bon, ambiance général, aspect agréable, bon ambiance, entreprise intéressant, fil période.,l, grand entreprise, général sympathie, intéressant mission, mission évoluer, monde grand, premier monde, période.,l aspect, sympathie collaborateur, évoluer fil, premier, monde, grand, entreprise, intéressant, mission, évoluer, fil, période.,l, aspect, agréable, bon, ambiance, général, sympathie, collaborateur]"
33,"Auxiliaire de vacances (Ancien employé), ","Versailles, A8",5.0,BNP Paribas,4.0,4.0,17 juillet 2015,"Très bonne expérience bien qu'elle fut brève !! Je la recommande. De plus, c'est un secteur porteur, avec une marge d'évolution assez importante.,On bénéficie aussi de nombreux avantages",Environnement de travail agréable,5.0,5.0,fr,"[bon expérience, brève recommander, bénéficier nombreux, expérience brève, importante.,on bénéficier, marge évolution, nombreux avantages, porteur marge, recommander secteur, secteur porteur, évolution importante.,on, bon, expérience, brève, recommander, secteur, porteur, marge, évolution, importante.,on, bénéficier, nombreux, avantages]"
34,"Sales person (Ancien employé), ",lyon,3.0,BNP Paribas,5.0,5.0,16 juillet 2015,"diverses mission ,encadrement comptent ,bonne ambiance de travail",stage etudiant,3.0,3.0,fr,"[ambiance travail, bon ambiance, compter bon, diverse mission, mission compter, diverse, mission, compter, bon, ambiance, travail]"
35,"Chargé d'Affaires Professionnels PARIS XVI (Ancien employé), ",Paris XVI Agence Saint Honoré D'Eylau,5.0,BNP Paribas,3.0,4.0,15 juillet 2015,"Entreprise sachant bien formé ses salariés mais dont les propositions ne sont pas toujours respecté et peuvent nuire à la qualité de travail du salarié. ,Management plutôt bon d'un point de vue agence,Beaucoup d'opportunités si vous choisissez de vous investir à 100%,Des journées importantes mais riche en découvertes avec beaucoup d'humain mais également une partie commerciale importante.",Bonne entreprise mais attention aux promesses non tenues,3.0,4.0,fr,"[100%,de journée, agence,beaucoup opportunité, bon vue, choisir investir, dont proposition, découverte humain, entreprise savoir, humain partie, investir 100%,de, nuire qualité, opportunité choisir, partie commercial, pouvoir nuire, proposition respecter, qualité travail, respecter pouvoir, riche découverte, savoir former, vue agence,beaucoup, commercial important, former salarié, important riche, journée important, salarié bon, salarié dont, travail salarié, entreprise, savoir, former, salarié, dont, proposition, respecter, pouvoir, nuire, qualité, travail, salarié, bon, vue, agence,beaucoup, opportunité, choisir, investir, 100%,de, journée, important, riche, découverte, humain, partie, commercial, important]"
36,"Head of Support Front and Middle Office (Employé actuel), ",Paris,4.0,BNP Paribas,3.0,5.0,14 juillet 2015,"Evolution pour tous les talents.,Marché de l'emploi au sein du groupe, ,perspective à l'internationale,Management ,Diversité",Bonne stratégie,3.0,3.0,fr,"[emploi sein, evolution talents.,marché, perspective diversité, sein perspective, talents.,marché emploi, evolution, talents.,marché, emploi, sein, perspective, diversité]"
37,"Chargée de gestion administration du personnel (Ancien employé), ",Nanterre,5.0,BNP Paribas,5.0,5.0,8 juillet 2015,Le poste est varié et le travail en équipe est très important.,Travail d'équipe,5.0,5.0,fr,"[travail équipe, varier travail, équipe important, varier, travail, équipe, important]"
38,"Conseillère clientèle, contrat d'apprentissage (Ancien employé), ","Amiens, B6",1.0,BNP Paribas,3.0,4.0,8 juillet 2015,"Remplacement au poste de conseillers clientèle lors de mes 2 années de formation en alternance. ,Sens commercial et sens du contact avec la clientèle.,Conseiller et orienter les clients sur des solutions adaptées à leurs besoins. En leurs proposant des placements bancaires et d'assurance mais aussi de prévoyance.,Et des solutions de crédits afin de développer le PNB de l'entreprise.",Environnement de travail agréable,2.0,5.0,fr,"[2 année, adaptéer besoin, année formation, assurance prévoyance.,et, bancaire assurance, besoin proposer, clientèle 2, clientèle.,conseiller orienter, conseiller clientèle, contact clientèle.,conseiller, crédit développer, développer pnb, formation alternance, orienter clients, placement bancaire, pnb entreprise, proposer placement, alternance sen, clients solution, commercial sen, prévoyance.,et solution, sen commercial, sen contact, solution adaptéer, solution crédit, conseiller, clientèle, 2, année, formation, alternance, sen, commercial, sen, contact, clientèle.,conseiller, orienter, clients, solution, adaptéer, besoin, proposer, placement, bancaire, assurance, prévoyance.,et, solution, crédit, développer, pnb, entreprise]"
39,"Gestionnaire Middle Office (Ancien employé), ",Paris,5.0,BNP Paribas,5.0,5.0,30 juin 2015,"ESPRIT EQUIPE,AMBITION,CLIENT FOCUS ,Tourné vers l'avenir,en constante évolution",Middle office de marché,5.0,5.0,fr,"[avenir,en constant, constant évolution, equipe,ambition,clier focu, esprit equipe,ambition,clier, focu tourner, tourner avenir,en, esprit, equipe,ambition,clier, focu, tourner, avenir,en, constant, évolution]"
40,"Chef de Publicité Internationale - stage (Ancien employé), ","Paris, 75002",3.0,BNP Paribas,5.0,5.0,30 juin 2015,Un éclairage de plus indispensable au monde de la communication et de la pub,Environnement de travail très agréable,4.0,4.0,fr,"[communication pub, indispensable monde, monde communication, éclairage indispensable, éclairage, indispensable, monde, communication, pub]"
